#{"t_start": 1753632185.7505076, "env_id": "None"}
r,l,t
57.0,19,9.663244
58.0,4,9.667061
51.0,30,9.69566
60.0,5,9.699544
50.0,1,9.700092
56.0,6,9.70664
59.0,11,9.718651
45.0,20,9.733807
-31.0,30,9.75463
57.0,2,9.757223
69.0,10,9.768916
66.0,7,9.774136
66.0,12,9.784464
71.0,8,9.791292
83.0,11,9.803525
63.0,11,9.810832
67.0,6,9.818913
-31.0,30,9.841181
77.0,12,9.854439
51.0,17,9.869292
56.0,12,9.888607
-48.0,30,9.906717
49.0,13,9.919663
50.0,20,9.937157
-39.0,30,9.958475
44.0,24,9.977596
57.0,2,9.981545
45.0,17,9.995505
-48.0,30,10.017662
61.0,7,10.023797
51.0,17,10.039886
60.0,19,10.057251
60.0,10,10.065537
33.0,28,10.089544
57.0,5,10.099718
50.0,1,10.100295
59.0,3,10.103728
24.0,29,10.124086
58.0,4,10.132502
38.0,30,10.154854
39.0,23,10.172575
57.0,2,10.175092
52.0,16,10.191011
1.0,30,10.211623
59.0,23,10.228744
55.0,13,10.237657
71.0,10,10.250167
29.0,29,10.27528
50.0,12,10.286373
49.0,22,10.301414
50.0,1,10.307019
72.0,9,10.313369
66.0,13,10.321582
53.0,9,10.330223
54.0,11,10.343756
-42.0,30,10.368944
50.0,15,10.38092
-33.0,30,10.410011
59.0,6,10.418631
73.0,15,10.433119
95.0,16,10.446509
57.0,5,10.450568
67.0,11,10.464879
50.0,12,10.473818
40.0,25,10.491896
63.0,15,10.504505
75.0,6,10.516349
72.0,17,10.529588
61.0,4,10.533621
61.0,10,10.540635
50.0,1,10.547501
63.0,18,10.563127
50.0,1,10.56337
-3.0,30,10.590585
112.0,21,10.608944
63.0,19,10.624207
43.0,25,10.643283
41.0,26,10.662881
55.0,13,10.679169
41.0,21,10.696234
62.0,11,10.706536
57.0,2,10.707407
55.0,21,10.731128
-42.0,30,10.753505
64.0,15,10.766787
60.0,5,10.770199
75.0,9,10.779757
76.0,8,10.788707
57.0,5,10.79411
57.0,5,10.7975
78.0,8,10.807229
58.0,4,10.810535
58.0,7,10.818168
54.0,8,10.825239
66.0,4,10.833217
59.0,3,10.834453
-42.0,30,10.8608
79.0,19,10.877983
67.0,14,10.891215
94.0,11,10.902907
57.0,2,10.903512
40.0,25,10.926938
80.0,6,10.93497
