#{"t_start": 1753633972.2405934, "env_id": "None"}
r,l,t
57.0,2,9.970622
52.0,10,9.987526
57.0,2,9.989501
51.0,11,10.00594
58.0,4,10.013917
57.0,2,10.020647
58.0,4,10.024133
57.0,5,10.030983
57.0,5,10.037795
50.0,1,10.042721
59.0,3,10.044976
58.0,4,10.05167
50.0,1,10.052478
57.0,2,10.057507
57.0,2,10.059048
58.0,4,10.065362
59.0,3,10.067495
58.0,4,10.074148
58.0,4,10.080491
59.0,3,10.08646
58.0,4,10.089392
55.0,7,10.101766
57.0,5,10.109832
56.0,6,10.118931
59.0,3,10.1255
58.0,4,10.128858
57.0,5,10.13678
56.0,6,10.148749
58.0,4,10.151509
59.0,3,10.156849
59.0,3,10.162271
58.0,4,10.164974
58.0,4,10.170739
46.0,16,10.194595
50.0,12,10.217458
50.0,1,10.218593
50.0,1,10.21945
59.0,3,10.227099
58.0,4,10.234596
56.0,6,10.244066
59.0,3,10.246655
50.0,1,10.251841
59.0,3,10.254464
59.0,3,10.261817
57.0,5,10.270451
59.0,3,10.273263
57.0,2,10.279624
50.0,1,10.280526
57.0,5,10.287864
58.0,4,10.295104
59.0,3,10.297203
57.0,5,10.303917
50.0,1,10.308112
57.0,2,10.309633
58.0,4,10.315509
57.0,2,10.316913
58.0,4,10.322954
58.0,4,10.328927
58.0,4,10.336239
57.0,2,10.338525
58.0,4,10.344631
57.0,5,10.35111
58.0,4,10.357078
57.0,5,10.363514
57.0,5,10.373134
54.0,8,10.386362
57.0,5,10.396071
58.0,4,10.404762
57.0,2,10.406948
54.0,8,10.42394
58.0,4,10.432536
57.0,5,10.442272
58.0,4,10.450832
57.0,5,10.458029
56.0,6,10.467215
57.0,5,10.477809
58.0,4,10.484898
57.0,2,10.486592
58.0,4,10.493653
59.0,3,10.495697
59.0,3,10.500826
53.0,9,10.513362
58.0,4,10.519143
57.0,5,10.527503
57.0,5,10.53595
57.0,2,10.537367
57.0,5,10.545736
57.0,5,10.552846
57.0,2,10.554329
52.0,10,10.570276
59.0,3,10.576804
58.0,4,10.583916
51.0,11,10.611774
57.0,5,10.62037
57.0,5,10.62914
59.0,3,10.635171
56.0,6,10.642594
50.0,1,10.64336
58.0,4,10.649508
59.0,3,10.651561
57.0,5,10.658109
56.0,6,10.66948
55.0,7,10.679071
50.0,1,10.680144
59.0,3,10.686715
58.0,4,10.69421
57.0,5,10.701216
57.0,5,10.708142
50.0,1,10.708999
59.0,3,10.711428
59.0,3,10.717071
58.0,4,10.723243
58.0,4,10.729594
59.0,3,10.731803
50.0,1,10.732564
57.0,5,10.739341
50.0,1,10.745394
58.0,4,10.748787
55.0,7,10.763257
56.0,6,10.770556
53.0,9,10.783625
59.0,3,10.785734
52.0,10,10.801342
59.0,3,10.808084
58.0,4,10.815451
57.0,5,10.824012
50.0,1,10.82499
53.0,9,10.840103
59.0,3,10.842207
57.0,5,10.848789
59.0,3,10.85406
56.0,6,10.863083
58.0,4,10.870407
58.0,4,10.876599
56.0,6,10.883761
58.0,4,10.890172
57.0,5,10.896737
57.0,5,10.903536
57.0,5,10.911399
59.0,3,10.913811
59.0,3,10.920306
50.0,1,10.921192
55.0,7,10.934783
57.0,2,10.936552
58.0,4,10.943763
57.0,5,10.951829
59.0,3,10.954808
56.0,6,10.967144
58.0,4,10.970402
59.0,3,10.97666
58.0,4,10.983185
54.0,8,10.991951
59.0,3,10.997618
57.0,2,10.999264
53.0,9,11.013864
50.0,1,11.01475
59.0,3,11.020888
57.0,2,11.022529
59.0,3,11.028796
50.0,1,11.029729
58.0,4,11.03687
53.0,9,11.051992
59.0,3,11.054468
58.0,4,11.061765
55.0,7,11.075416
58.0,4,11.078699
58.0,4,11.085889
50.0,1,11.086807
54.0,8,11.101291
57.0,2,11.102991
59.0,3,11.109755
56.0,6,11.116941
57.0,2,11.121484
59.0,3,11.123734
57.0,5,11.130314
58.0,4,11.136126
58.0,4,11.148535
57.0,2,11.150384
50.0,1,11.151313
54.0,8,11.169421
58.0,4,11.178649
56.0,6,11.18824
58.0,4,11.196263
56.0,6,11.207316
59.0,3,11.21564
51.0,11,11.239563
55.0,7,11.251965
57.0,5,11.263111
55.0,7,11.28094
57.0,5,11.314102
50.0,1,11.315403
57.0,5,11.327843
58.0,4,11.337961
59.0,3,11.342874
54.0,8,11.380941
57.0,5,11.39635
58.0,4,11.409631
50.0,1,11.410606
57.0,5,11.417754
53.0,9,11.448178
59.0,3,11.452397
58.0,4,11.467941
57.0,5,11.482802
58.0,4,11.495736
57.0,2,11.497892
59.0,3,11.50747
50.0,1,11.509101
54.0,8,11.535144
50.0,1,11.53648
57.0,5,11.546339
56.0,6,11.555269
58.0,4,11.562464
57.0,2,11.563889
58.0,4,11.571088
59.0,3,11.577535
50.0,1,11.578467
57.0,5,11.587972
58.0,4,11.597753
56.0,6,11.606916
57.0,2,11.608626
59.0,3,11.61742
57.0,5,11.626901
59.0,3,11.629573
57.0,5,11.637809
59.0,3,11.644386
50.0,1,11.645326
58.0,4,11.652371
58.0,4,11.65953
51.0,11,11.676331
52.0,10,11.692268
59.0,3,11.697703
57.0,5,11.70413
59.0,3,11.706578
58.0,4,11.71436
59.0,3,11.721262
55.0,7,11.730417
59.0,3,11.735584
54.0,8,11.744563
50.0,1,11.74534
57.0,5,11.751796
57.0,5,11.75835
56.0,6,11.768703
57.0,5,11.775539
59.0,3,11.777657
58.0,4,11.783523
53.0,9,11.799574
58.0,4,11.808313
57.0,2,11.810493
59.0,3,11.818386
56.0,6,11.826503
59.0,3,11.831491
57.0,2,11.838162
59.0,3,11.840827
59.0,3,11.847446
59.0,3,11.853868
58.0,4,11.857122
57.0,5,11.864982
58.0,4,11.874147
57.0,2,11.881315
58.0,4,11.885302
53.0,9,11.89834
50.0,1,11.899208
58.0,4,11.905366
57.0,5,11.912063
50.0,1,11.912864
58.0,4,11.919046
58.0,4,11.925404
59.0,3,11.931339
59.0,3,11.933781
57.0,2,11.939143
59.0,3,11.94143
57.0,5,11.949142
59.0,3,11.955916
57.0,5,11.964468
58.0,4,11.970564
50.0,1,11.971379
58.0,4,11.977619
50.0,1,11.978642
58.0,4,11.986002
59.0,3,11.988537
54.0,8,12.00327
58.0,4,12.010427
59.0,3,12.012553
58.0,4,12.018432
57.0,2,12.020315
55.0,7,12.033496
55.0,7,12.04216
54.0,8,12.056799
58.0,4,12.069647
55.0,7,12.085376
59.0,3,12.095541
50.0,1,12.096836
50.0,1,12.098034
50.0,1,12.099134
59.0,3,12.111847
58.0,4,12.122638
57.0,5,12.132919
59.0,3,12.13575
55.0,7,12.153402
55.0,7,12.161831
59.0,3,12.167776
59.0,3,12.170034
57.0,2,12.175295
58.0,4,12.178219
58.0,4,12.184794
57.0,5,12.191797
59.0,3,12.197338
58.0,4,12.203791
59.0,3,12.205972
58.0,4,12.212262
57.0,2,12.213704
57.0,2,12.218566
56.0,6,12.226177
59.0,3,12.232515
57.0,2,12.23433
58.0,4,12.242051
57.0,5,12.250782
57.0,2,12.252561
57.0,2,12.258504
58.0,4,12.261961
57.0,5,12.27133
57.0,5,12.281221
58.0,4,12.290618
50.0,1,12.291717
54.0,8,12.309741
54.0,8,12.327885
54.0,8,12.336873
59.0,3,12.343076
54.0,8,12.35183
58.0,4,12.360116
57.0,2,12.367679
59.0,3,12.370115
54.0,8,12.392249
58.0,4,12.400908
55.0,7,12.413357
58.0,4,12.422256
55.0,7,12.434375
58.0,4,12.444185
58.0,4,12.453895
58.0,4,12.46358
57.0,5,12.474157
59.0,3,12.477413
56.0,6,12.490417
55.0,7,12.520082
57.0,5,12.52884
59.0,3,12.531908
58.0,4,12.540695
57.0,5,12.549739
57.0,5,12.556772
58.0,4,12.564544
58.0,4,12.573606
57.0,5,12.58312
58.0,4,12.591493
54.0,8,12.603534
57.0,5,12.612445
58.0,4,12.620798
59.0,3,12.628022
57.0,5,12.636306
58.0,4,12.639944
53.0,9,12.65494
57.0,5,12.66217
58.0,4,12.667931
57.0,5,12.6744
57.0,5,12.680836
50.0,1,12.68159
58.0,4,12.687248
57.0,2,12.688628
56.0,6,12.699757
57.0,5,12.706302
58.0,4,12.709909
59.0,3,12.716388
57.0,5,12.724009
58.0,4,12.729821
52.0,10,12.743691
58.0,4,12.750748
50.0,1,12.751671
56.0,6,12.760283
58.0,4,12.76725
50.0,1,12.768151
57.0,5,12.775136
58.0,4,12.780846
58.0,4,12.787148
50.0,1,12.788123
50.0,1,12.789033
53.0,9,12.804246
59.0,3,12.806794
57.0,5,12.814863
59.0,3,12.820607
59.0,3,12.826042
53.0,9,12.838385
57.0,5,12.848393
56.0,6,12.861349
57.0,5,12.869421
58.0,4,12.872737
59.0,3,12.87926
57.0,5,12.887267
58.0,4,12.894652
53.0,9,12.910304
58.0,4,12.913707
57.0,5,12.921942
57.0,5,12.930484
57.0,5,12.938575
57.0,2,12.944358
55.0,7,12.953997
58.0,4,12.961414
59.0,3,12.967803
58.0,4,12.971075
58.0,4,12.978257
56.0,6,12.986745
